@relation churn-4000-v8_0.25

@attribute CreditScore[g][mv1.5][i] numeric
@attribute Geography[mv2] {France,Spain,Germany}
@attribute Gender[mv1.5] {Female,Male}
@attribute Age[c][mv2][i] numeric
@attribute Tenure[c][mv1.5][i] numeric
@attribute Balance[g][mv2] numeric
@attribute NumOfProducts[m][mv1.5][i] numeric
@attribute HasCrCard[mv2] {0,1}
@attribute IsActiveMember[g][mv1.5] {0,1}
@attribute EstimatedSalary[g][mv2] numeric
@attribute Exited[c][mv2] {0,1}

@data
584,Germany,?,42,3,?,1,1,0,25669.1,0
660,Germany,Male,39,?,134599.33,2,?,0,?,0
676,Spain,?,30,5,?,2,0,1,?,0
561,?,?,?,?,123692,1,?,1,?,0
696,?,Female,?,8,0,?,1,1,?,0
757,Germany,Male,33,1,122088.67,1,1,0,42581.09,0
545,France,Male,30,?,?,2,1,0,170307.43,0
723,?,Male,42,?,99095.73,1,1,?,17512.53,0
?,France,?,43,6,0,2,1,?,16301.91,0
717,?,Male,28,?,128206.79,?,1,?,?,0
521,France,Female,32,2,136555.01,2,1,1,129353.21,0
651,France,Male,28,?,0,2,1,?,823.96,0
700,France,?,30,9,0,1,?,?,174971.64,0
675,Spain,Male,?,3,0,2,?,0,45348.08,0
628,France,Male,34,?,158741.43,2,1,1,126192.54,0
?,Spain,?,?,6,0,2,?,1,?,0
779,Spain,Male,33,3,0,2,1,0,30804.68,0
?,?,Female,38,4,0,2,1,1,136390.88,0
?,Germany,?,?,5,86568.75,1,0,1,103660.31,0
480,?,?,40,6,148790.61,1,0,?,79329.7,0
532,?,Male,38,9,0,2,0,?,30583.95,0
?,France,?,?,7,0,?,0,0,?,0
?,Germany,Male,40,5,?,2,1,0,49722.34,0
692,Spain,?,49,9,?,2,1,0,?,0
635,France,Female,72,4,74812.84,?,0,?,?,0
?,?,Female,34,7,152992.91,1,?,1,?,0
571,France,Female,?,2,?,2,?,0,28045.77,0
465,?,Male,25,?,78247.31,2,1,1,10472.31,0
773,?,Male,43,?,138150.57,1,1,1,?,0
?,?,?,32,10,0,2,0,?,196342.66,0
?,?,Female,37,1,0,?,0,0,?,0
635,Spain,?,?,0,103257.14,1,0,?,158344.63,0
811,?,Male,30,6,0,2,?,?,180591.32,0
728,Spain,Female,29,?,?,1,?,1,?,0
712,France,?,30,1,89571.59,1,1,1,177613.19,0
684,?,Female,36,4,0,1,1,?,?,0
709,Germany,Male,22,0,112949.71,1,0,0,155231.55,0
659,Spain,Female,33,8,115409.6,1,0,1,1539.21,0
747,France,?,41,5,0,2,1,1,22750.17,0
491,Spain,Female,61,8,0,2,0,1,139861.53,0
?,France,Female,30,8,92472.1,?,?,1,?,0
672,France,?,28,?,167268.98,1,1,?,169469.3,0
692,France,Female,42,2,0,2,?,0,145222.93,0
?,Germany,?,44,3,105934.96,1,1,0,82463.69,0
?,Germany,?,71,?,?,2,1,1,122506.78,0
?,Spain,Male,39,?,?,1,?,1,?,0
609,France,Male,?,?,?,1,?,1,43651.49,0
?,France,?,71,4,?,2,1,1,197562.08,0
?,Spain,Female,30,?,0,?,1,1,41192.95,0
662,France,Female,37,5,0,2,?,0,151871.84,0
?,France,Male,44,2,?,1,?,?,15120.86,0
?,Germany,?,37,9,131519.49,2,1,1,51752.18,0
666,Germany,?,36,3,129118.5,2,?,0,139435.12,0
710,France,Male,33,?,118327.17,2,1,1,?,0
?,France,Female,31,0,118100.59,2,1,?,?,0
680,Spain,Male,42,?,0,?,1,?,136377.21,0
?,Germany,?,59,?,135296.33,1,?,0,182822.5,0
585,?,Male,?,7,0,2,1,0,94283.09,0
512,?,Female,40,8,153537.57,?,0,0,?,0
536,Germany,?,35,4,121520.36,?,0,0,77178.42,0
?,Germany,?,45,3,?,2,1,1,96404.38,0
575,Spain,?,26,?,0,2,?,0,?,0
?,Spain,Male,37,9,?,1,1,?,?,0
537,?,?,38,1,0,?,0,?,?,0
598,Spain,Female,38,6,0,?,0,0,?,0
678,France,Female,41,9,0,1,0,0,13160.03,0
749,Germany,?,?,7,79523.13,1,0,1,157648.12,0
517,France,Male,41,2,0,2,?,?,75937.47,0
678,?,Female,22,?,118064.93,2,1,1,195424.01,0
829,Spain,?,26,8,101440.36,2,?,1,19324.5,0
663,Germany,Male,37,7,143625.83,2,0,1,176487.05,0
?,France,Female,26,7,0,2,1,?,93122.41,0
?,France,Female,42,7,?,2,0,?,?,0
497,Germany,?,?,7,110053.62,2,1,1,?,0
?,?,?,32,10,92041.87,1,?,1,43595.9,0
?,France,Female,35,10,0,1,1,1,?,0
717,Germany,Male,35,?,58469.37,2,1,1,172459.39,0
?,?,Female,27,6,0,1,1,?,57572.38,0
?,France,?,59,7,127450.14,1,?,1,67552.71,0
559,France,Male,32,9,145303.52,1,?,0,103560.98,0
557,Spain,?,?,1,?,1,1,?,98413.1,0
748,France,Female,34,8,0,2,1,0,53584.03,0
823,France,Male,71,?,?,?,?,1,?,0
603,France,?,?,8,?,2,1,?,169915.02,0
639,?,Male,?,9,130233.14,1,1,?,81861.1,0
?,France,Female,42,2,0,2,0,1,?,0
587,France,?,47,6,71026.77,1,?,0,?,0
?,Germany,Male,?,8,?,2,?,?,?,0
799,Germany,?,39,7,?,2,0,1,139537.43,0
799,Spain,Male,38,2,0,2,1,1,59297.34,0
714,Spain,Male,29,9,0,2,?,?,129192.55,0
651,France,Female,65,0,0,2,1,?,190454.04,0
?,?,?,?,8,0,?,1,?,126561.07,0
669,?,Female,47,?,61196.54,1,?,0,58170.24,0
?,Spain,?,?,4,?,2,1,?,120736.04,0
753,?,Female,?,4,0,?,1,1,861.4,0
529,France,Male,43,6,?,2,?,0,98348.66,0
755,France,Male,29,?,117035.89,1,1,1,?,0
655,Germany,Male,37,9,121342.24,1,?,1,180241.44,0
594,France,Male,?,9,122417.17,?,0,?,?,0
754,Germany,?,57,2,101134.87,2,?,1,70954.41,0
709,France,Female,34,2,111669.68,1,1,0,?,0
?,France,Male,42,1,0,1,?,0,?,0
541,?,?,46,6,0,?,?,?,83456.67,0
661,Spain,Male,20,8,0,1,1,0,110252.53,0
?,Germany,Male,30,4,?,1,1,1,193716.56,0
709,?,Female,?,?,87814.89,1,1,0,138578.37,0
526,Germany,Male,61,6,?,2,?,1,45180.8,0
?,France,?,38,8,?,1,1,?,86575.46,0
622,?,Male,31,7,?,1,1,?,35408.77,0
