Collegium Historicum UAM, d. siedziba KW PZPR;A;W. Czarnecki;Centrum, Œw. Marcin;-1949;1949;1;1;0;0;1;0;0;0;1;0;yes
Urz¹d Skarbowy, UM;A;S. Pogórski , T. P³oñczak/Leykam?;Centrum, Libelta 16;-1952;1952;0;1;0;0;0;0;0;0;1;0;yes
S¹d Okrêgowy;A;S. Pogórski/ J. Kukie³ka;Centrum, al. Marcinkowskiego 32;-1953;1955;0;1;0;0;0;0;0;0;1;0;yes
Zespó³ DTC „Alfa”;AH;J. Liœniewicz, T. P³oñczak, Z. Waschko;Centrum, Œw. Marcin;-1963;1970;1;0;1;0;0;0;1;0;1;0;yes
Zjednoczenie Przemys³u Ceramiki Budowlanej [biurowiec];A;A. Hubert;Je¿yce, Gajowa 6;-1970;1970;1;0;0;0;0;0;0;1;1;0;yes
TP SA [biurowiec];AI;Z. Piwowarczyk;Centrum, al. Marcinkowskiego;-1975;1975;1;1;0;0;0;1;0;0;0;0;yes
Szko³a Aspirantów Po¿arnictwa;E;Tyc, L. Sternal, Z. Skupniewicz;Czechos³owacka 27;-1948;1965;1;0;0;0;0;1;1;0;0;0;yes
Wydz. Budownictwa L¹dowego [PP];E;S. Pogórski;Piotrowo;-1953;1955;0;0;1;0;0;1;0;1;0;0;yes
Szko³a podstawowa nr 70;E;S. Zieleœkiewicz;£ukaszewicza;-1955;1955;1;0;0;0;1;0;1;0;0;0;yes
Wydz. Nauk Spo³ecznych [UAM];E;W. Czarnecki;Ogrody, Szamarzewskiego;-1955;1957;0;1;0;0;0;1;1;0;0;0;yes
Wydz. Mechaniczny i Elektryczny [PP];E;W. Milewski, L. Sternal, Z. Skupniewicz;Piotrowo;-1960;1960;1;0;0;1;0;0;0;1;0;0;yes
Akademia Rolnicza [budynki dydaktyczne];E;W. Milewski, L. Sternal, Z. Skupniewicz;So³acz, Wojska Polskiego 28;-1960;1960;1;1;0;0;0;1;1;0;1;0;yes
Szko³a podstawowa nr 75;E;H. Jarosz, S. Zieleœkiewicz (?);Centrum, Powstañców Wlkp.;-1965;1965;1;1;0;0;0;0;1;0;0;0;yes
Collegium Altum [AE];E;W. Milewski, L. Sternal, Z. Skupniewicz;Centrum, Powstañców Wlkp. 16;-1974;1990;1;0;0;1;0;0;1;1;0;0;yes
hotel „Merkury”;G;J. Cieœliñski J. Wêc³awski, I. Wis³ocka;Je¿yce, Kaponiera;-1961;1964;1;1;1;1;1;0;1;0;0;0;yes
„Jowita”, dom akademicki;G;W. Milewski,Z. Skupniewicz;Je¿yce, Zwierzyniecka;-1964;1964;1;1;0;0;0;1;1;0;0;0;yes
dom studencki „Eskulap”;G;W. Milewski, L. Sternal, Z. Skupniewicz;Grunwald, Przybyszewskiego 39;-1975;1980;1;0;0;0;0;1;1;0;1;0;yes
PDT „Okr¹glak”;H;M. Leykam;Centrum, 27. Grudnia;-1949;1955;1;1;1;1;0;1;1;0;0;0;yes
„Domar”;H;K. Waniorek;Centrum, 27. Grudnia;-1958;1963;0;1;1;0;0;0;1;0;1;0;yes
